TEAM,PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Pheonix Suns,"
Landry Shamet",19:15,2,8,25.0,1,5,20.0,1,1,100,1,0,1,2,0,0,2,1,6,-5
Pheonix Suns,"
Jock Landale",14:42,3,3,100,1,1,100,2,2,100,4,2,6,1,0,0,2,2,9,3
Pheonix Suns,"
Damion Lee",20:25,4,8,50.0,3,5,60.0,2,2,100,1,1,2,0,1,0,1,2,13,-6
Pheonix Suns,"
Josh Okogie",5:04,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,0,-7
Pheonix Suns,"
Dario Saric",9:09,0,4,0.0,0,3,0.0,0,0,0.0,1,1,2,1,1,0,1,1,0,-8
Pheonix Suns,"
Bismack Biyombo",3:43,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,2,0,0,2,-8
Pheonix Suns,"
Mikal Bridges
",27:00,3,7,42.9,1,2,50.0,4,5,80.0,0,1,1,2,2,1,0,0,11,18
Pheonix Suns,"
Torrey Craig
",21:38,2,5,40.0,1,3,33.3,0,0,0.0,0,5,5,4,1,3,1,4,5,22
Pheonix Suns,"
Deandre Ayton
",15:53,3,6,50.0,0,1,0.0,1,2,50.0,2,4,6,1,0,2,1,3,7,1
Pheonix Suns,"
Devin Booker
",29:09,9,20,45.0,2,7,28.6,4,4,100,1,2,3,3,1,2,1,2,24,19
Pheonix Suns,"
Chris Paul
",24:21,3,7,42.9,2,4,50.0,7,7,100,0,5,5,4,0,0,1,2,15,16
Pheonix Suns,"
Jock Landale",18:18,2,4,50.0,0,1,0.0,1,2,50.0,2,1,3,4,1,1,2,1,5,17
Pheonix Suns,"
Landry Shamet",19:19,3,6,50.0,2,4,50.0,0,0,0.0,0,1,1,2,0,1,0,0,8,11
Pheonix Suns,"
Damion Lee",27:55,3,5,60.0,2,2,100,1,2,50.0,1,3,4,1,0,0,0,1,9,-1
Pheonix Suns,"
Dario Saric",21:00,4,9,44.4,1,2,50.0,0,1,0.0,4,5,9,1,1,0,2,3,9,2
Pheonix Suns,"
Josh Okogie",16:12,1,4,25.0,0,2,0.0,2,4,50.0,0,3,3,0,1,1,3,3,4,2
Pheonix Suns,"
Bismack Biyombo",13:49,1,4,25.0,0,0,0.0,1,1,100,1,3,4,0,0,3,2,3,3,2
Pheonix Suns,"
Duane Washington Jr.",5:26,1,5,20.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-9
Pheonix Suns,"
Mikal Bridges
",43:31,6,12,50.0,1,2,50.0,2,2,100,0,5,5,1,0,1,0,1,15,-14
Pheonix Suns,"
Torrey Craig
",22:30,1,6,16.7,1,4,25.0,0,0,0.0,0,1,1,1,1,1,1,1,3,-5
Pheonix Suns,"
Deandre Ayton
",30:36,6,11,54.5,0,0,0.0,2,2,100,3,4,7,0,1,1,0,4,14,-13
Pheonix Suns,"
Devin Booker
",43:24,8,16,50.0,1,1,100,11,14,78.6,2,5,7,5,1,0,6,2,28,-9
Pheonix Suns,"
Chris Paul
",13:45,1,1,100,0,0,0.0,0,0,0.0,0,2,2,2,2,0,2,1,2,-10
Pheonix Suns,"
Cameron Payne",27:43,6,14,42.9,1,4,25.0,1,2,50.0,0,2,2,5,0,0,3,4,14,-11
Pheonix Suns,"
Jock Landale",6:48,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,1,2,0,5,2,-3
Pheonix Suns,"
Damion Lee",25:30,3,6,50.0,2,4,50.0,2,2,100,0,5,5,2,2,0,1,4,10,-7
Pheonix Suns,"
Dario Saric",3:09,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1
Pheonix Suns,"
Landry Shamet",11:08,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,6
Pheonix Suns,"
Bismack Biyombo",10:36,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,1,0,4
Pheonix Suns,"
Josh Okogie",1:20,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
Pheonix Suns,"
Mikal Bridges
",42:19,12,20,60.0,2,6,33.3,5,5,100,2,7,9,5,4,1,2,1,31,12
Pheonix Suns,"
Torrey Craig
",26:03,2,5,40.0,2,3,66.7,0,0,0.0,2,3,5,1,1,0,2,4,6,-6
Pheonix Suns,"
Deandre Ayton
",32:58,4,10,40.0,0,0,0.0,1,2,50.0,2,4,6,2,0,0,2,1,9,16
Pheonix Suns,"
Devin Booker
",38:10,12,23,52.2,5,7,71.4,3,3,100,0,4,4,10,2,0,1,2,32,26
Pheonix Suns,"
Cameron Payne
",35:01,8,17,47.1,4,9,44.4,3,3,100,1,5,6,8,1,0,0,1,23,10
Pheonix Suns,"
Dario Saric",12:46,2,4,50.0,0,1,0.0,1,1,100,2,0,2,2,0,0,0,3,5,6
Pheonix Suns,"
Landry Shamet",18:56,5,7,71.4,2,3,66.7,4,4,100,0,0,0,1,0,0,3,2,16,8
Pheonix Suns,"
Jock Landale",12:00,1,5,20.0,0,1,0.0,2,2,100,1,3,4,1,1,1,0,5,4,-2
Pheonix Suns,"
Damion Lee",15:31,1,5,20.0,1,4,25.0,0,0,0.0,0,0,0,1,0,0,1,1,3,-14
Pheonix Suns,"
Josh Okogie",3:14,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6
Pheonix Suns,"
Bismack Biyombo",3:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,1,0,-2
Pheonix Suns,"
Mikal Bridges
",37:38,3,13,23.1,2,6,33.3,0,0,0.0,1,3,4,6,0,0,1,2,8,-16
